iter	MultiClass
0	1.57618317
1	1.547548277
2	1.522657059
3	1.50087638
4	1.480189508
5	1.462074538
6	1.445519204
7	1.431308131
8	1.418253832
9	1.406710312
10	1.396992601
11	1.38739867
12	1.378314651
13	1.369567389
14	1.363125687
15	1.355613005
16	1.350094526
17	1.343839288
18	1.339155297
19	1.333863522
20	1.330161926
21	1.325016653
22	1.320776932
23	1.316212203
24	1.31327471
25	1.310103046
26	1.308069247
27	1.304551451
28	1.301813766
29	1.298312408
30	1.295716919
31	1.293748238
32	1.291178709
33	1.28945634
34	1.288228247
35	1.286695775
36	1.285286935
37	1.282425078
38	1.281570447
39	1.279873908
40	1.277903741
41	1.276706705
42	1.275088551
43	1.273194316
44	1.272824993
45	1.271250924
46	1.26975543
47	1.268445668
48	1.267527387
49	1.265588354
50	1.264406695
51	1.263311418
52	1.261375519
53	1.260298778
54	1.259666552
55	1.258549756
56	1.256213384
57	1.255032349
58	1.254231355
59	1.25269425
60	1.251928381
61	1.251519842
62	1.250553707
63	1.249811416
64	1.249144509
65	1.248572536
66	1.247801665
67	1.246497227
68	1.245610372
69	1.244461754
70	1.243753102
71	1.242461328
72	1.242044791
73	1.241322242
74	1.240985114
75	1.24071805
76	1.239645468
77	1.239250125
78	1.237815728
79	1.237207744
80	1.236165583
81	1.235719134
82	1.23523093
83	1.235125655
84	1.234244636
85	1.23385658
86	1.232603934
87	1.231372584
88	1.23079516
89	1.230405793
90	1.229325604
91	1.228936626
92	1.228770337
93	1.228067589
94	1.227437126
95	1.227341537
96	1.226627097
97	1.226272866
98	1.225983448
99	1.225791126
100	1.225185833
101	1.224739125
102	1.224705386
103	1.223917364
104	1.223282156
105	1.223276413
106	1.223014965
107	1.222717539
108	1.222347626
109	1.221801074
110	1.221204785
111	1.220845953
112	1.220761776
113	1.220245905
114	1.219532442
115	1.218705408
116	1.21855145
117	1.218249783
118	1.21784993
119	1.21745217
120	1.216609807
121	1.215827482
122	1.21565968
123	1.215356868
124	1.214916442
125	1.214563909
126	1.213880501
127	1.213776436
128	1.213531601
129	1.21344258
130	1.212808845
131	1.212385085
132	1.212036009
133	1.212030735
134	1.211368899
135	1.210859186
136	1.210422304
137	1.209241455
138	1.208940811
139	1.208640483
140	1.208312585
141	1.207872511
142	1.20785761
143	1.207852982
144	1.20753581
145	1.207120838
146	1.207120825
147	1.205895884
148	1.205650719
149	1.204776597
150	1.204375604
151	1.204046644
152	1.203493115
153	1.203035569
154	1.20250343
155	1.202304224
156	1.201055581
157	1.200816474
158	1.200253697
159	1.199734781
160	1.19948638
161	1.19865045
162	1.198423654
163	1.198240801
164	1.197935434
165	1.197377131
166	1.196894593
167	1.1967242
168	1.196701441
169	1.196672734
170	1.196487987
171	1.195841247
172	1.195280769
173	1.194463527
174	1.194134439
175	1.193662151
176	1.193331535
177	1.193198174
178	1.193047046
179	1.192245534
180	1.191869757
181	1.191576532
182	1.191289334
183	1.19109098
184	1.19012362
185	1.189879267
186	1.189794864
187	1.189676002
188	1.188993193
189	1.188478474
190	1.188165428
191	1.187645879
192	1.186801438
193	1.186121765
194	1.185722466
195	1.185216416
196	1.184604916
197	1.184211073
198	1.18315217
199	1.18259798
200	1.182377064
201	1.181908594
202	1.180932695
203	1.180657553
204	1.180198096
205	1.179750232
206	1.179238157
207	1.178807196
208	1.178198185
209	1.177211838
210	1.176696252
211	1.176494718
212	1.175878243
213	1.1753212
214	1.174086499
215	1.173831484
216	1.173240593
217	1.172854476
218	1.172632502
219	1.171724691
220	1.171242599
221	1.171002521
222	1.170356139
223	1.170111414
224	1.169916618
225	1.169383969
226	1.168633333
227	1.167240044
228	1.166891971
229	1.166274774
230	1.165225518
231	1.164869897
232	1.164459108
233	1.163839467
234	1.163411459
235	1.162945342
236	1.162523612
237	1.161866384
238	1.161641064
239	1.160996681
240	1.160138485
241	1.159596685
242	1.159046983
243	1.158104695
244	1.15775694
245	1.157294837
246	1.156368283
247	1.156107276
248	1.155860446
249	1.15521251
250	1.154902347
251	1.154370931
252	1.153805872
253	1.153209436
254	1.152807285
255	1.152304276
256	1.152107971
257	1.151663854
258	1.150921972
259	1.150645772
260	1.150430452
261	1.14973126
262	1.149363977
263	1.148919573
264	1.148395006
265	1.147869018
266	1.147736169
267	1.147410752
268	1.14710249
269	1.146849447
270	1.146420648
271	1.146086556
272	1.145416398
273	1.144939316
274	1.144502933
275	1.144299528
276	1.143683971
277	1.142786682
278	1.142441806
279	1.142084316
280	1.141753363
281	1.140949664
282	1.14047867
283	1.140281307
284	1.13941425
285	1.138984591
286	1.138257464
287	1.13748819
288	1.137267631
289	1.136908785
290	1.136587384
291	1.136061761
292	1.13525676
293	1.134925215
294	1.134454606
295	1.133994278
296	1.13364036
297	1.133252889
298	1.132697483
299	1.132102232
300	1.131833564
301	1.131438976
302	1.131048736
303	1.130597539
304	1.130049215
305	1.129852748
306	1.129563152
307	1.128920736
308	1.128578914
309	1.128252379
310	1.127817154
311	1.127532615
312	1.127255007
313	1.127106473
314	1.126774962
315	1.125955904
316	1.125598668
317	1.124913289
318	1.124624429
319	1.123934306
320	1.123542016
321	1.123147736
322	1.122853176
323	1.122646627
324	1.1221021
325	1.121926694
326	1.121346861
327	1.121139984
328	1.120859289
329	1.120345989
330	1.119613146
331	1.11913818
332	1.11897614
333	1.118341489
334	1.118198689
335	1.117639923
336	1.117143082
337	1.116790409
338	1.116404864
339	1.116111246
340	1.115746171
341	1.115403704
342	1.115131076
343	1.114943862
344	1.114705208
345	1.114571436
346	1.114153982
347	1.113768542
348	1.113400131
349	1.113144996
350	1.112675617
351	1.112328617
352	1.111750684
353	1.111147763
354	1.110637162
355	1.110256939
356	1.109776552
357	1.10914681
358	1.108756186
359	1.108328908
360	1.108056253
361	1.107790983
362	1.107440318
363	1.106983704
364	1.106679395
365	1.106099049
366	1.10579803
367	1.105262352
368	1.105039296
369	1.104667929
370	1.10452164
371	1.104325832
372	1.104115531
373	1.103862056
374	1.103628185
375	1.103314059
376	1.103088124
377	1.102839983
378	1.102526863
379	1.102144002
380	1.101722901
381	1.101383421
382	1.101020443
383	1.100826613
384	1.100333623
385	1.100062998
386	1.099639791
387	1.099127672
388	1.098851974
389	1.098708894
390	1.098420153
391	1.097963865
392	1.097675302
393	1.097278245
394	1.097085089
395	1.096545474
396	1.096120012
397	1.095430344
398	1.095175214
399	1.094772478
400	1.094547268
401	1.09433864
402	1.093592683
403	1.093180401
404	1.092698004
405	1.092396032
406	1.091776773
407	1.091550644
408	1.091175749
409	1.090677267
410	1.09046791
411	1.090148063
412	1.089973791
413	1.089465329
414	1.08906923
415	1.088849462
416	1.087823534
417	1.087700568
418	1.087277245
419	1.086975155
420	1.086654376
421	1.086082428
422	1.085823072
423	1.08540398
424	1.085145931
425	1.084780402
426	1.084437613
427	1.083893318
428	1.083634697
429	1.082956469
430	1.08244206
431	1.0822197
432	1.081781478
433	1.081312237
434	1.081023178
435	1.080352091
436	1.079851491
437	1.079653551
438	1.079395704
439	1.078957762
440	1.078488765
441	1.078100782
442	1.077604093
443	1.077370562
444	1.077237267
445	1.077059112
446	1.076835364
447	1.07666528
448	1.07648514
449	1.076364964
450	1.075812137
451	1.07522636
452	1.074929586
453	1.074496545
454	1.074141527
455	1.073761126
456	1.073593139
457	1.073287308
458	1.072839136
459	1.072490848
460	1.072295054
461	1.071828325
462	1.071425045
463	1.071214558
464	1.07059867
465	1.070366722
466	1.069945161
467	1.069567477
468	1.069244208
469	1.068639791
470	1.06857922
471	1.067958385
472	1.067398162
473	1.066887558
474	1.066262238
475	1.065786266
476	1.065508284
477	1.065252766
478	1.064803547
479	1.064395717
480	1.064213013
481	1.063966935
482	1.063799135
483	1.063533503
484	1.063197109
485	1.06269853
486	1.062454722
487	1.062016336
488	1.061487789
489	1.06131241
490	1.060951791
491	1.060787875
492	1.060509191
493	1.060287662
494	1.060117644
495	1.059850245
496	1.059529961
497	1.05936528
498	1.05923838
499	1.059020081
